Title                                                                                                                                                                         ,Price ,In Stock ,Category
Gigabyte GeForce RTX 3070 Ti Gaming OC GV-N307TGAMING OC-8GD 8GB GDDR6X 256-bit PCI-E 4.0 Desktop Graphics Card                                                               ,True  ,15588.00 ,Graphics Cards
Gigabyte GeForce RTX 4080 Aero OC GV-N4080AERO OC-16GD 16GB GDDR6X 256-Bit PCIe 4.0 Desktop Graphics Card                                                                     ,True  ,33958.00 ,Graphics Cards
MSI GeForce RTX 4080 16GB GAMING TRIO 16GB GDDR6X 256-Bit PCIe 4.0 Desktop Graphics Card                                                                                      ,True  ,28799.00 ,Graphics Cards
Intel Arc A750 21P02J00BA 8GB GDDR6 256-bit PCIe 4.0 Desktop Graphics Card                                                                                                    ,True  ,6434.00  ,Graphics Cards
Gigabyte GeForce RTX 4070 AORUS MASTER 12G GV-N4070AORUS M-12GD 12GB GDDR6X 192-Bit PCIe 4.0 Desktop Graphics Card                                                            ,True  ,18389.00 ,Graphics Cards
MSI GeForce RTX 4060 Ti VENTUS 3X 16G OC RTX-4060-Ti-VENTUS-3X-16G-OC 16GB GDDR6 128-Bit PCIe 4.0 Desktop Graphics Card                                                       ,True  ,14099.00 ,Graphics Cards
ASUS GeForce RTX 3050 Dual V2 OC Edition DUAL-RTX3050-O8G-V2 8GB GDDR6 128-bit PCI Express 4.0 Desktop Graphics Card                                                          ,True  ,6700.00  ,Graphics Cards
MSI GeForce RTX 4070 TI VENTUS 3X E1 OC 12G RTX-4070-TI-VENTUS-3X-E1-12G-OC 12GB GDDR6X 192-Bit PCIe 4.0 Desktop Graphics Card                                                ,True  ,20346.00 ,Graphics Cards
PowerColor Radeon RX 6900 XT Red Devil OC AXRX 6900XT 16GBD6-3DHE/OC 16GB GDDR6 256-bit PCI-E 4.0 Desktop Graphics Card                                                       ,True  ,15899.00 ,Graphics Cards
Gigabyte GeForce GTX 1650 D6 OC 4G Edition GV-N1656OC-4GD 4GB GDDR6 128-bit PCI-E 3.0 Desktop Graphics Card                                                                   ,True  ,4248.00  ,Graphics Cards
